,RF_Pr,RF_Rc,RF_F1,RF_F05,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd
,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
environment_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHM C01 SS HBD,0.7696920944698032,0.623,0.5984542061485641,0.6337952705084423,0.4131043170196804,0.45999999999999996,0.43354140284177634,0.4206667799979572,0.5781933471933473,0.618,0.45352800396840404,0.4378721396773013,0.3788300651166784,0.195,0.23943512215932355,0.29425852515074646,0.10695542331520687,0.05734235322520674,0.05995069885553892,0.07125421624681062,0.052268864151240955,0.08629432183935792,0.06395273880649797,0.05560161555266964,0.14245071423683994,0.037142270310751416,0.03556646207550134,0.051815029394516175,0.1512145951347277,0.07924101802020138,0.09112514528619245,0.10789836011135918
PHM C01 SS LBD,0.3972599585768922,0.371,0.3569819529324326,0.3550849788214916,0.30298595281567414,0.26,0.2762707625434267,0.29040456814944327,0.3950873545610388,0.40499999999999997,0.2933247498613611,0.2804646338803315,0.5360414453967086,0.324,0.3766085308509437,0.4406969765555509,0.11926681716039014,0.026896292413055578,0.02702449072194648,0.040335876859505904,0.04638936925292298,0.0497931973288841,0.03987092796949292,0.03946603344595726,0.2698928923466932,0.03787736459215562,0.047719980774356095,0.08422232759695843,0.16071579924564525,0.09682364991234724,0.10441087438960772,0.11901006354777507
PHM C01 SS NBD,0.9288046433607073,0.889,0.8926394528881925,0.908611221789809,0.5179371642309604,0.5589999999999999,0.5308904020976655,0.5214398165007348,0.34208694813957974,0.22299999999999995,0.17696614093615776,0.19022285208331713,0.4590652375607821,0.27799999999999997,0.3236850117720004,0.379467673837096,0.02520231792827146,0.02947358834678058,0.030889954308338456,0.02857984868260432,0.07188072157991038,0.09548856749513183,0.07353234107802518,0.0699178474093349,0.30108713390009917,0.04470042405534348,0.06500503197952824,0.10902559784450186,0.12765712993815725,0.08717615538940317,0.09332048771948956,0.10530493206121312
PHM C04 SS HBD,0.6560817969655349,0.726,0.6717075543959949,0.6575726331203462,0.4020068636324289,0.5890000000000001,0.46837949177637644,0.42448808763336154,0.24056966306966307,0.21400000000000002,0.16112123220055868,0.1612060742874696,0.4664460583756817,0.331,0.36334698419005385,0.4081128553024856,0.0631518990573556,0.07526218784064301,0.062314546876245255,0.06101077396871468,0.02612200519991444,0.0530098271111733,0.03448979982830922,0.028695476255327257,0.2135251951750463,0.02719343644411778,0.04239439072192698,0.07464296872934768,0.12187283031903269,0.09514444491625774,0.09821795472506376,0.10714108360653178
PHM C04 SS LBD,0.713470954392875,0.9400000000000001,0.8024484487971157,0.7453595769666935,0.5175707466297182,0.499,0.5051367764355705,0.5117177117069901,0.2720093372724951,0.207,0.1585586388774402,0.16369173462196718,0.42108533452287056,0.4,0.3699246676326542,0.37971973992826397,0.04252879510589222,0.04513562240746603,0.035183368859729204,0.03869426208854106,0.092312612081405,0.1094435802639718,0.09416344631284387,0.09101463332857654,0.3023455598658525,0.03968638057093578,0.056811971042008705,0.09943240588364634,0.13509662083288626,0.0741701405593947,0.07022420933519782,0.0881434502130548
PHM C04 SS NBD,0.7888258472754821,0.993,0.8758128401595281,0.8208763462911455,0.5030011611865697,0.614,0.5398083360008867,0.5150260255753603,0.4017392755392756,0.585,0.4433351351174477,0.3961233944093302,0.5205320748304455,0.45999999999999996,0.470577761513136,0.4939455706498334,0.03687523721957364,0.011595018087284059,0.02446299031810118,0.03231239795513744,0.07208594972945091,0.0944366137546522,0.07943727294093553,0.07399124048656794,0.11350792021365638,0.03877052715523632,0.03460015875499506,0.04471855699188352,0.09749591879448022,0.09364143800345552,0.0886028058872347,0.09128119618581367
PHM C06 SS HBD,0.7580051549561988,0.885,0.8092860103064974,0.7761300572187669,0.470482008679091,0.484,0.46440516344111665,0.46275533922387313,0.44585463068221687,0.5229999999999999,0.38664417811649987,0.3569225421845975,0.47736029122460677,0.33799999999999997,0.38349995230846823,0.4288518099455523,0.04638109167470086,0.051345812715143234,0.04594844325637252,0.045258062217932736,0.08154351734437706,0.07121606322566851,0.06779064474149742,0.07302004855658348,0.19064363865483283,0.02980379692897564,0.03289438259732226,0.05596099553700157,0.12798225986124492,0.10853326937224161,0.11003119983126433,0.11670161058908288
PHM C06 SS LBD,0.8297375144112256,0.8699999999999999,0.8252639243669755,0.8232479841324472,0.5025997347929294,0.512,0.502260054402626,0.5012421840756406,0.4048572053835212,0.41000000000000003,0.29449087289481984,0.27964864592771566,0.435149970703531,0.248,0.2953556660959643,0.35326230209499354,0.0362300058136326,0.05652952523184394,0.03694699765450996,0.030575187009601823,0.08275236822365975,0.11285165894130293,0.08984269977576272,0.08330289676040345,0.26977071662791285,0.03037265579680768,0.04420293730346528,0.08048519926854161,0.15618964839044572,0.07142035477281246,0.0917450600939385,0.11824518821470249
PHM C06 SS NBD,0.8475829921712276,0.7969999999999999,0.7777191619670214,0.807725791686317,0.5102060328839235,0.512,0.5018241393855553,0.5038422191714678,0.3715014042382463,0.598,0.4140990022708214,0.36323037266351216,0.5592726527725179,0.492,0.49356116188475285,0.5116701993271026,0.01098402936046324,0.04375985016859052,0.03754847338771884,0.025570410065268438,0.07290262866344877,0.10650923466073388,0.08133528393910103,0.07404147929452307,0.13073426737706875,0.034622539784259276,0.03856469953147418,0.06034820283584728,0.11627120730180807,0.10344081837214814,0.08698535207999773,0.08977995700913968
Simulated HBD,0.9657484232313955,0.758,0.84072039178136,0.908346467169517,0.5400212996004757,0.487,0.5046096162391114,0.522816899075457,0.5444495802309034,0.5,0.4404317086853163,0.4410570150651504,0.43557384643220554,0.24200000000000005,0.2890470922014964,0.3441998654479136,0.028502840390218283,0.08683864976060758,0.059539402046974,0.0391001673068389,0.08543079668278437,0.1181978629145107,0.09603044220536726,0.08754036040360728,0.21372240349539803,0.04321853974917478,0.04938597625078346,0.07758541848425146,0.17966836132592062,0.0890420875118915,0.09886859884189918,0.11837663916252135
Simulated LBD,0.9255053635660044,0.901,0.9034384182281701,0.9136540564941141,0.41438734180298986,0.385,0.3878036670584064,0.39421697262820243,0.6189301406669827,0.495,0.44027038417193787,0.48043358383439205,0.2673333333333333,0.06599999999999998,0.10375500602457115,0.16065053002552998,0.03691272876172188,0.028776680734503103,0.027980950917569018,0.03337093914971268,0.13650362135632402,0.07847675029909376,0.07644676921316046,0.08414970048033787,0.14158736170495848,0.03142628264825026,0.03155306825970796,0.04839823842051402,0.20281672377330642,0.049680792930710885,0.07707761788760552,0.11821240815335601
Simulated NBD,0.9460892070892072,0.791,0.841450293406074,0.8949068016980857,0.5842011519258383,0.512,0.514989729354366,0.5404920976949291,0.49079658605974397,0.414,0.3014792669700808,0.2957489135541461,0.4075313575313575,0.126,0.18380515378283566,0.2643042958503484,0.012247253386822959,0.03445258478789434,0.03048588297788506,0.02284571619477474,0.10250380403098085,0.11696016772047373,0.10850300001850807,0.10667578200331271,0.29310721674722146,0.028581513785424763,0.04056220635699758,0.0769955452876997,0.22186615208606808,0.06632759821214992,0.09148375828141306,0.1302628272950693
